GPE,Count,Latitude,Longitude,group_ID,Is_Valid,Category
Blnqerlnll,1,-43.5448377,172.6405845,0,False,0
Hobart,2,-42.8826055,147.3257196,1,False,0
Tasmania,3,-42.0409059,146.8087322,2,False,0
Te Mania,2,-41.3324394,173.1606394,3,True,1
Picton,1,-41.2954812,174.0028153,4,False,0
Nz)·Spect,1,-40.900557,174.885971,5,True,1
New Zealand,9,-40.900557,174.885971,5,True,1
Wonthaggi,1,-38.6060046,145.5910694,6,False,0
Griffilhs Island,1,-38.3920823,142.2469658,7,False,0
Lava Street,2,-38.3817814,142.4849584,8,True,1
Port Pairy,1,-38.3806327,142.2294039,9,False,0
South West Heatthcare,1,-38.3801373,142.473434,10,False,0
South West Healthcare,1,-38.3801373,142.473434,10,True,1
North Warrnambool Ea­,1,-38.3720954,142.4777782,11,False,0
Worrnombool Tel,1,-38.3720954,142.4777782,11,False,0
Central Warrnambool,1,-38.3720954,142.4777782,11,True,1
South Warrnambool,33,-38.3720954,142.4777782,11,True,1
Warmambool,11,-38.3720954,142.4777782,11,False,0
Warrnambool,138,-38.3720954,142.4777782,11,False,0
Warmambool South-,1,-38.3720954,142.4777782,11,False,0
Hotel Warrnambool,1,-38.3720954,142.4777782,11,True,1
North Warrnambool,12,-38.3720954,142.4777782,11,False,0
New Warrnambool,1,-38.3720954,142.4777782,11,False,0
South Warmambool,2,-38.3720954,142.4777782,11,False,0
North Warrnam­,1,-38.3720954,142.4777782,11,False,0
North Warrnamllool Eagin,1,-38.3720954,142.4777782,11,False,0
Nonh Warrnambool,1,-38.3720954,142.4777782,11,False,0
East Warrnambool,1,-38.3720954,142.4777782,11,True,1
South Wbool,2,-38.3720954,142.4777782,11,False,0
North Warmambool,3,-38.3720954,142.4777782,11,False,0
Reet Warrnambool,1,-38.3720954,142.4777782,11,False,0
North Warrnambool Eaglesl,1,-38.3720954,142.4777782,11,False,0
Warrnambocl,1,-38.3720954,142.4777782,11,False,0
Warrnambool City Council,1,-38.3686779,142.4982086,12,False,0
Bushfield,2,-38.3250935,142.5055545,13,False,0
Pomborneit,1,-38.2967124,143.2990793,14,False,0
Koroit,32,-38.2921758,142.3673185,15,True,1
Grassmere,1,-38.2582366,142.5410767,16,False,0
Narrawong,1,-38.2533641,141.7088602,17,False,0
Terang Mortlake 9,1,-38.2404416,142.9108851,18,True,1
Terang Mortlake Team­,1,-38.2404416,142.9108851,18,False,0
Terang,11,-38.2404416,142.9108851,18,False,0
Mornlngton,1,-38.22882,145.0600448,19,False,0
Mornington,1,-38.22882,145.0600448,19,False,0
Tyrendorra,1,-38.2184418,141.780982,20,False,0
The Mount Noorat,1,-38.1911136,142.9294969,21,False,0
Bessiebelle Park,1,-38.1542234,141.9569039,22,False,0
Geelong,16,-38.1492994,144.3598426,23,True,1
"Fremantie, Geelong",1,-38.1492994,144.3598426,23,False,0
Corangamite Shire,1,-38.1491105,143.1319209,24,True,1
Kolora,2,-38.1380254,142.9259307,25,True,1
Cranboume,1,-38.1054204,145.2818338,26,False,0
Pakenham,1,-38.0776708,145.4818724,27,False,0
Dandenong,1,-37.9847811,145.2139907,28,False,0
