GPE,Count,Latitude,Longitude
NSW,2,-31.2532183,146.921099
SYDNEY,1,-33.8688197,151.2092955
MELBOURNE,1,-37.8136276,144.9630576
Geelong,5,-38.1492994,144.3598426
Hotel Warrnambool,1,-38.3720954,142.4777782
Scotland,1,56.49067119999999,-4.2026458
New Zealand,5,-40.900557,174.885971
Lagos,1,6.5243793,3.3792057
Queensland,1,-22.575197,144.0847926
South Wales,2,51.6858341,-3.3821421
England,13,52.3555177,-1.1743197
Queens,2,40.7282239,-73.7948516
Paris,1,48.856614,2.3522219
Kazakh,1,48.019573,66.923684
New Orleans,1,29.95106579999999,-90.0715323
MAlS+l,1,46.6863988,10.5514095
Los Angeles,2,34.0522342,-118.2436849
Orange County,1,33.7174708,-117.8311428
Denali,1,63.06916889999999,-151.0069842
Albury,2,-36.0751193,146.9094852
Mortlake,2,51.4687363,-0.2627417
Te Mania,2,-41.3324394,173.1606394
Westmere,1,42.6911891,-73.8687343
Redesdale,1,-37.0033555,144.5011709
Wonthaggi,1,-38.6060046,145.5910694
Yarrawonga,1,-36.0260723,146.0003241
Maryborough,1,-25.5384947,152.7034191
Marysville,1,48.0517637,-122.1770818
hellekens,1,51.3791407,5.252299
Jersey,3,49.2137711,-2.1357662
Baynes,1,43.48788,-84.095123
l. Jersey,1,1.5252662,103.6610018
Winocka,1,36.5822557,-98.8798145
Brookwood,1,33.8836398,-84.0400713
SOlllliERN GRAMPIANS,1,-37.2108819,142.3979571
Bessiebelle Park,1,-38.1542234,141.9569039
Glencoe,2,56.68255989999999,-5.1022713
Jamecca Plains,1,42.3132414,-71.1141118
Pomborneit,1,-38.2967124,143.2990793
Choclyn,1,28.6942427,77.1290788
New EGA,1,30.0505753,31.245891
NC,1,35.7595731,-79.01929969999999
Victoria,3,-36.9847807,143.3906074
New Warrnambool,1,-38.3720954,142.4777782
Lyon,3,45.764043,4.835659
Edgbaston,2,52.4553184,-1.9040926
Birmingham,1,52.48624299999999,-1.890401
Cun,1,21.0417033,-86.8740062
wayalong,1,-33.9223568,147.2026202
Adelaide,3,-34.9284989,138.6007456
Richmond,2,37.5407246,-77.4360481
Collingwood,1,44.50076869999999,-80.2169047
Brisbane,3,-27.4704528,153.0260341
"Fremantie, Geelong",1,-38.1492994,144.3598426
Sydney,5,-33.8688197,151.2092955
Perth,1,-31.9523123,115.861309
Ballarat,2,-37.5621587,143.8502556
St Kilda,1,57.83481324783624,-8.56354406037558
Lake Wendouree,1,-37.5528276,143.8332407
againsl,1,42.7792672,-1.6412543
Bath,1,51.3781018,-2.3596827
Guernsey,1,49.4481982,-2.58949
Heywood-Portland,1,43.662849,-70.275536
Mildura,4,-34.2068859,142.1366852
Coburg,1,50.2612094,10.962695
Parkville,1,-37.7787036,144.9426083
Beach Oval,1,-37.9455911,145.0007827
Maribyrnong,1,-37.7837482,144.8908713
Maribymong,1,-37.7837482,144.8908713
West Victoria,1,48.433684,-123.38718
Warmambool SOUTH-,1,-38.3720954,142.4777782
WEST Victoria,1,48.433684,-123.38718
Victoria,4,-36.9847807,143.3906074
Bendigo,3,-36.75961960000001,144.2785764
Geelong,4,-38.1492994,144.3598426
Warrnambool,22,-38.3720954,142.4777782
South Warrnambool's,1,-38.3720954,142.4777782
Melbourne,10,-37.8136276,144.9630576
Ballarat,4,-37.5621587,143.8502556
Koroit,4,-38.2921758,142.3673185
Warmambool,1,-38.3720954,142.4777782
Logans Beach,1,26.0134498,-80.11567749999999
Gippsland,1,-37.5831982,147.4627259
Delhi,2,28.7040592,77.10249019999999
INDIA,1,20.593684,78.96288
India,3,20.593684,78.96288
Golden Triangle Delhi,1,28.65032219999999,77.200356
Jaipur,1,26.9124336,75.7872709
Agra,1,27.1766701,78.00807449999999
Australia,14,-25.274398,133.775136
Khartoum,4,15.5006544,32.5598994
Sudan,4,12.862807,30.217636
Egypt,2,26.820553,30.802498
Canberra,3,-35.2809368,149.1300092
solu­,1,43.6504333,-88.1080162
thaL.,1,47.078596,15.3552061
West Bank,3,31.9465703,35.3027226
Jenin,1,32.4646353,35.2938591
Israel,1,31.046051,34.851612
China,1,35.86166,104.195397
Terrey,1,-33.6832036,151.2254937
New Orleans,1,29.95106579999999,-90.0715323
America,1,37.09024,-95.712891
Los Angeles,3,34.0522342,-118.2436849
Puerto,1,18.220833,-66.590149
Mexico,2,23.634501,-102.552784
Puerto Vallarta,2,20.653407,-105.2253316
Cartagena,3,10.3932277,-75.4832311
Colombia,2,4.570868,-74.297333
Old City,1,39.9500455,-75.1438117
Huatulco,2,15.8340071,-96.3199488
San Juan del Sur,2,11.263406,-85.8639766
Nicaragua,1,12.865416,-85.207229
Puntarenas,2,9.9778439,-84.82942109999999
Costa Rica,1,9.748917,-83.753428
Panama,1,8.537981,-80.782127
Panama City,2,30.1588129,-85.6602058
Fort Lauderdale,1,26.1224386,-80.13731740000001
Orleans,1,47.902964,1.909251
New Orlean,1,29.95106579999999,-90.0715323
Mississippi,1,32.3546679,-89.3985283
Sydney,2,-33.8688197,151.2092955
Brisbane,1,-27.4704528,153.0260341
Miami,1,25.7616798,-80.1917902
SYDNEY,1,-33.8688197,151.2092955
MELBOURNE,2,-37.8136276,144.9630576
South Wales,1,51.6858341,-3.3821421
Paris,2,48.856614,2.3522219
Los Angeles.(PG,1,12.9088834,74.9938573
Hunters Australia,1,-25.274398,133.775136
New EGA,1,30.0505753,31.245891
NC,1,35.7595731,-79.01929969999999
Bali,1,-8.4095178,115.188916
Salem,4,42.5197473,-70.8954626
Port Adelaide,1,-34.8442994,138.505369
Collingwood,1,44.50076869999999,-80.2169047
St Kilda,4,57.83481324783624,-8.56354406037558
Adelaide,1,-34.9284989,138.6007456
Richmond,1,37.5407246,-77.4360481
Bushfield,2,-38.3250935,142.5055545
South Warrnambool,4,-38.3720954,142.4777782
Sheffield,1,53.38112899999999,-1.470085
USA,1,37.09024,-95.712891
San Francisco,1,37.7749295,-122.4194155
Banyule,2,-37.7314254,145.082419
Terang,3,-38.2404416,142.9108851
Portland,2,45.515232,-122.6783853
North Warrnam­,1,-38.3720954,142.4777782
Dandenong,1,-37.9847811,145.2139907
Germany,1,51.165691,10.451526
Pakistan,1,30.375321,69.34511599999999
North Warrnambool Ea­,1,-38.3720954,142.4777782
Warrnambool,21,-38.3720954,142.4777782
Camperdown,4,-33.88622429999999,151.1791091
Corangamite Shire,1,-38.1491105,143.1319209
ri,2,41.5800945,-71.4774291
Ballarat orGeelong,1,-37.5621587,143.8502556
Peterborough,1,52.57031689999999,-0.2407996999999999
New South Wales,1,-31.2532183,146.921099
Homele,1,36.2059425,43.9845763
Victoria,3,-36.9847807,143.3906074
South Warmambool,2,-38.3720954,142.4777782
South Warrnambool,17,-38.3720954,142.4777782
NSW,2,-31.2532183,146.921099
Australia,8,-25.274398,133.775136
territo­,1,28.5627386,-81.5565432
Queens­,1,40.7282239,-73.7948516
Tasmania,1,-42.0409059,146.8087322
Au tralian,1,-25.274398,133.775136
Ballarat,1,-37.5621587,143.8502556
Melbourne,6,-37.8136276,144.9630576
Paris,3,48.856614,2.3522219
Rome,1,41.9027835,12.4963655
Seoul,1,37.5518911,126.9917937
Singapore,1,1.352083,103.819836
Suva,1,-18.1405049,178.4232507
SYDNEY,3,-33.8688197,151.2092955
MELBOURNE,3,-37.8136276,144.9630576
London,1,51.5072178,-0.1275862
NJ,1,40.0583238,-74.4056612
Kansas,1,39.011902,-98.4842465
Cuba,1,21.521757,-77.781167
America,1,37.09024,-95.712891
Yorkshire,1,53.9590858,-1.0792403
England,1,52.3555177,-1.1743197
Queens,1,40.7282239,-73.7948516
Brooklyn,1,40.6781784,-73.9441579
Los Angeles.(PG,1,12.9088834,74.9938573
NC,2,35.7595731,-79.01929969999999
Bali,1,-8.4095178,115.188916
Kolora,2,-38.1380254,142.9259307
Tyrendorra,1,-38.2184418,141.780982
Koroit,11,-38.2921758,142.3673185
North Warrnamllool Eagin,1,-38.3720954,142.4777782
North Warrnambool Eaglesl,1,-38.3720954,142.4777782
Panmure,5,-36.9011809,174.8570732
Russells Creek,2,-36.34171507511021,149.7011392578551
Dennington,2,52.253926,1.3393709
Portland,20,45.515232,-122.6783853
T.Ste,1,38.867344,-77.01340499999999
K.ColhM,1,40.6962581,-73.3224896
NMcCartney,1,35.7468733,-90.6889088
N.Murphy,1,37.20856089999999,-93.2941665
DISTRICT FL,1,27.6648274,-81.5157535
North Warmambool,3,-38.3720954,142.4777782
North Warrnambool,10,-38.3720954,142.4777782
Ounkeld,1,56.5676532,-3.5862204
Jfranklin,1,32.8705226,-83.6608622
M.Monaghan,1,54.2492434,-6.9683082
Jlor,1,39.3221779,-74.514657
Indiana,1,40.5512165,-85.60236429999999
South Wbool,2,-38.3720954,142.4777782
B.Barry 2,1,52.1277623,-8.2895635
WOOiey,1,51.2097555,-2.6912839
Charlotte,1,35.2270869,-80.8431267
Terang Mortlake 9,1,-38.2404416,142.9108851
Nonh Warrnambool,1,-38.3720954,142.4777782
Georgia,4,42.315407,43.35689199999999
ang Mortlake,1,51.4687363,-0.2627417
"53,9",1,52.9995357,9.0026872
Houston,1,29.7604267,-95.3698028
RICHMOND,1,37.5407246,-77.4360481
Richmond,2,37.5407246,-77.4360481
Brisbane,1,-27.4704528,153.0260341
Sydney,3,-33.8688197,151.2092955
St KJkta,1,57.83481324783624,-8.56354406037558
Geelong,1,-38.1492994,144.3598426
Adelaide,1,-34.9284989,138.6007456
NorthMelbourne,1,-37.8008004,144.9485049
Port Adelaide,1,-34.8442994,138.505369
South Warrnambool's,2,-38.3720954,142.4777782
Flemington,1,40.5123258,-74.85933179999999
Cork,1,51.8985143,-8.4756035
Llrving,1,32.8140177,-96.9488945
South Warmam­,1,39.7253287,-86.2052066
Terang,1,-38.2404416,142.9108851
B.Jenkinson,1,53.6924621,-1.6311384
Warrnambool,65,-38.3720954,142.4777782
South Warrnambool,3,-38.3720954,142.4777782
Warmambool,9,-38.3720954,142.4777782
London,1,51.5072178,-0.1275862
US,6,37.09024,-95.712891
Melbourne,18,-37.8136276,144.9630576
East Warrnambool,1,-38.3720954,142.4777782
Grassmere,1,-38.2582366,142.5410767
Panmure,2,-36.9011809,174.8570732
The Mount Noorat,1,-38.1911136,142.9294969
Portland,10,45.515232,-122.6783853
Pigeon Ponds,1,-37.2979115,141.6709392
Princetown,1,50.5440793,-3.9904538
Scott Creek,1,-35.0565609,138.7080325
South West Healthcare,1,-38.3801373,142.473434
South Melbourne,1,-37.83434430000001,144.9559035
Victoria,11,-36.9847807,143.3906074
Tokyo,7,35.6761919,139.6503106
Hiroshima,1,34.3852894,132.4553055
Caramut,1,-37.9590175,142.5189691
New Guinea's,1,-5.0122202,141.3470159
Papua New Guinea,1,-6.314992999999999,143.95555
Bougainville,1,-6.053602,155.1907309
Torokina,1,-6.2448035,155.0419034
Lae,1,-6.7155252,146.999905
Mildura,1,-34.2068859,142.1366852
Dart­ moor,1,50.5718857,-3.9206884
amecourt,1,49.380192,1.731205
Sydney,7,-33.8688197,151.2092955
San Francisco,1,37.7749295,-122.4194155
New York,2,40.7127753,-74.0059728
Orleans,1,47.902964,1.909251
Hollywood,3,34.0928092,-118.3286614
previ­,2,40.4297782,-111.8943629
Brambuk,1,-37.1579303,142.5302372
thmgs 1hat,1,11.3377142,77.71826940000001
Cairns,5,-16.9203476,145.7709529
Australia,27,-25.274398,133.775136
Perth,5,-31.9523123,115.861309
Syria,2,34.80207499999999,38.996815
north­,1,32.325113,-110.9283994
NSW,6,-31.2532183,146.921099
Queensland,9,-22.575197,144.0847926
Canberra,2,-35.2809368,149.1300092
Ottawa,1,45.4215296,-75.69719309999999
Manitoba,4,53.7608608,-98.8138763
Winnipeg,1,49.8954221,-97.1385145
Canada,2,56.130366,-106.346771
Quebec,1,46.8130816,-71.20745959999999
Moscow,1,55.755826,37.6173
Zaporizhzhia,3,47.8388,35.139567
Ukraine,5,48.379433,31.16558
Washington,1,38.9071923,-77.0368707
North Dighton,1,41.8644591,-71.13003379999999
Russia,3,61.52401,105.318756
Belarus,1,53.709807,27.953389
Wanong,1,31.06993,95.90786
Koroit,10,-38.2921758,142.3673185
Kooongwootong,1,-37.4798193,141.6394694
Ellerslie,1,-36.8996982,174.8161917
Glenthompson,1,-37.63677759999999,142.5477626
Victoria Point,1,-27.5879419,153.303966
Broadwater,1,50.8284525,-0.3745477
Heywood,5,53.592628,-2.22565
LVWalkenhorst,1,39.6806411,-119.704811
Naracoorte,2,-36.9569884,140.7417779
Pleasant Park,6,35.7020037,-78.88552279999999
Penshurst,3,51.1727246,0.1824358
Mortlake,5,51.4687363,-0.2627417
Dunkeld,1,56.5676532,-3.5862204
Pineview,1,45.4239279,-75.605533
Holland,2,52.132633,5.291265999999999
Glentoompson,1,-37.63677759999999,142.5477626
Branxholme,3,-37.8614896,141.8015613
Coleraine,1,55.1325802,-6.6646102
Merrivale,1,50.55762199999999,-4.049531
Singapore,3,1.352083,103.819836
Manly Beach,1,-33.7931501,151.2876488
Britain,2,55.378051,-3.435973
England,6,52.3555177,-1.1743197
Australia.8.30,1,-25.274398,133.775136
Queens,1,40.7282239,-73.7948516
JO Drive,1,32.6291368,-96.8626703
Venice,1,45.4408474,12.3155151
France,2,46.227638,2.213749
Yorkshire,1,53.9590858,-1.0792403
Paris,2,48.856614,2.3522219
Chesll Beach,1,50.6266703,-2.5605472
America,4,37.09024,-95.712891
Stockholm,1,59.32932349999999,18.0685808
Bergen,1,60.39126279999999,5.3220544
Bali,2,-8.4095178,115.188916
Indonesia,1,-0.789275,113.921327
New Zealand,1,-40.900557,174.885971
Japan,1,36.204824,138.252924
Dhaka,2,23.804093,90.4152376
Bangladesh,1,23.684994,90.356331
Bhutan,1,27.514162,90.433601
Fremantle,2,-32.0517901,115.755096
Albany,2,42.6525793,-73.7562317
Broken Hill,1,-31.9595859,141.4608138
Adelaide,3,-34.9284989,138.6007456
Pemberton,1,50.322028,-122.8050498
Turkey,1,38.963745,35.243322
TOKYO,1,35.6761919,139.6503106
JAPAN,1,36.204824,138.252924
Hong Kong,4,22.3193039,114.1693611
Vancouver,1,49.2827291,-123.1207375
Hcale ville,1,50.6045194,-1.3184195
Adelaide Hills,1,-34.9062557,138.8397403
Howe Island,3,-31.5553263,159.0821211
Jaipur,2,26.9124336,75.7872709
India,3,20.593684,78.96288
Tasmania,1,-42.0409059,146.8087322
South Australia,4,-30.0002315,136.2091547
Woombye,1,-26.6605212,152.9649067
Maroochydore Beach,1,-26.65447,153.1036287
Wurzburg,1,49.79130439999999,9.9533548
Rothenburg,1,49.3801834,10.1867388
Regensburg,1,49.0134297,12.1016236
Anchorage Beach,1,40.3673046,-73.9735742
Picton,1,-41.2954812,174.0028153
tltis,1,33.5708827,-7.677872499999999
Mooloolaba Beach Is,1,-26.6809437,153.121665
Mooloolaba Beach,1,-26.6809437,153.121665
Sunreef Mooloolaba,1,-26.6835329,153.122156
Mooloolaba,4,-26.6818215,153.11903
Rainbow Beach,1,-25.9045007,153.0897222
Mool­,1,28.4976638,77.085563
Lille,1,50.62925,3.057256
Montville,1,40.9148209,-74.383763
Italy,4,41.87194,12.56738
Florence,1,43.7695604,11.2558136
Rome,2,41.9027835,12.4963655
Puglia,2,40.7928393,17.1011931
Bari,1,41.1171432,16.8718715
Lecce,1,40.3515155,18.1750161
Piazza Duomo,1,45.4641941,9.189698
Catania,2,37.5078772,15.0830304
Syracusan,1,37.0754739,15.2865861
Nhulunbuy,1,-12.1835392,136.7860989
Palm Springs,18,33.8302961,-116.5452921
California,1,36.778261,-119.4179324
Los Angeles,2,34.0522342,-118.2436849
Palm Springs',2,33.8302961,-116.5452921
"Palm prings).""Everybody",1,33.8302961,-116.5452921
Palm Springs City Hall,1,33.824045,-116.5114939
Palm Spring,1,33.8302961,-116.5452921
Spain,2,40.46366700000001,-3.74922
Egypt,2,26.820553,30.802498
Kentucky,1,37.8393332,-84.2700179
las!,1,36.171563,-115.1391009
Flemington,2,40.5123258,-74.85933179999999
Tatura,1,-36.4400613,145.2260066
Wl!ltOK«l!llHll­,1,33.09671,-89.077203
Vienna,1,48.2081743,16.3738189
wtll!w\,1,33.8514737,-118.3704803
Malden SW,1,42.4250964,-71.066163
RaUng 58,1,-8.1258333,114.0458333
Kodiak,1,57.79000000000001,-152.4072222
BlnQerlnll,1,-43.5448377,172.6405845
Htl'M'.9)Ma',1,42.4072107,-71.3824374
Blackheath,2,51.4658393,0.0090338
Palm Beach's,1,26.7056206,-80.0364297
Berry,1,-34.7757734,150.6988896
Shoalhaven,1,-35.0810677,150.4892292
Kyneton,1,-37.2490932,144.4532075
Albury,1,-36.0751193,146.9094852
the Palm Springs,1,28.4472647,77.1007152
Malibu,1,34.0380585,-118.6923438
Indio,1,33.7205771,-116.2155619
Rancho Mirage,1,33.739744,-116.41279
Palm Desert's,1,33.7210509,-116.3760455
the Adelaide Hills,1,-34.9062557,138.8397403
Kangaroo Island,1,-35.7752426,137.2142417
Clare Valley,1,-33.8335699,138.61
Bewong,1,-35.0853273,150.5337437
Subiaco,1,-31.9470195,115.8240278
Toorak,2,-37.8416751,145.0138468
acros,1,38.0186856,-87.52110800000001
LA,1,34.0522342,-118.2436849
Bordeaux,1,44.837789,-0.57918
Hungary,1,47.162494,19.503304
Providence,1,41.8239891,-71.4128343
ISLAND,1,64.963051,-19.020835
Austraiia,1,-25.274398,133.775136
Tassie,1,52.3637788,4.886993599999999
Norfolk,5,36.8507689,-76.28587259999999
Bitung,1,1.4403744,125.1216524
Nha Trang,1,12.2529152,109.1899018
Brisbane,2,-27.4704528,153.0260341
i.sa,1,41.8500231,-87.9424422
China,1,35.86166,104.195397
York,1,53.9614205,-1.0739108
Davenport,1,41.5236437,-90.5776367
St Louis',1,38.6270025,-90.1994042
Worrnombool Tel,1,-38.3720954,142.4777782
Whitehaven,1,54.549699,-3.589233
Ballarat,2,-37.5621587,143.8502556
Geelong,3,-38.1492994,144.3598426
SYDNEY,1,-33.8688197,151.2092955
Nice,1,43.7101728,7.261953200000001
South West Victona,1,-37.6975835,142.4039296
wfll,1,33.8617448,-117.9424723
Tenn,1,35.5174913,-86.5804473
Lava Street,2,-38.3817814,142.4849584
Warrnambocl,1,-38.3720954,142.4777782
NC,1,35.7595731,-79.01929969999999
Jersey,3,49.2137711,-2.1357662
Parap,1,-12.4322152,130.8433184
Berryt,1,-34.7757734,150.6988896
South West Heatthcare,1,-38.3801373,142.473434
reet Warrnambool,1,-38.3720954,142.4777782
heavyground,1,44.4007535,12.2043152
Terang Mortlake team­,1,-38.2404416,142.9108851
Terang,4,-38.2404416,142.9108851
Georgia,1,42.315407,43.35689199999999
Camperdown,4,-33.88622429999999,151.1791091
South Warrnambool's,1,-38.3720954,142.4777782
Connecticut,1,41.6032207,-73.087749
Haintz,1,48.69591519999999,10.054238
the United States,1,37.09024,-95.712891
Las Vegas,1,36.171563,-115.1391009
Victoria Park,2,-27.4553219,153.0247254
Queens­,1,40.7282239,-73.7948516
Noosa,1,-26.3645433,152.9676695
Port Pairy,1,-38.3806327,142.2294039
East Beach,1,36.9275731,-76.1852736
Russells Creek,1,-36.34171507511021,149.7011392578551
North Warrnambool,1,-38.3720954,142.4777782
Central Warrnambool,1,-38.3720954,142.4777782
Griffilhs Island,1,-38.3920823,142.2469658
