GPE,Count,Latitude,Longitude,group_ID,GPE_new
BlnQerlnll,1,-43.5448377,172.6405845,0,Christchurch
Hobart,2,-42.8826055,147.3257196,1,Hobart
Tasmania,1,-42.0409059,146.8087322,2,
Tasmania,1,-42.0409059,146.8087322,2,
Tasmania,1,-42.0409059,146.8087322,2,
Te Mania,2,-41.3324394,173.1606394,3,
Picton,1,-41.2954812,174.0028153,4,
NZ)·Spect,1,-40.900557,174.885971,5,
New Zealand,5,-40.900557,174.885971,5,
New Zealand,3,-40.900557,174.885971,5,
New Zealand,1,-40.900557,174.885971,5,
Wonthaggi,1,-38.6060046,145.5910694,6,
Griffilhs Island,1,-38.3920823,142.2469658,7,
Lava Street,2,-38.3817814,142.4849584,8,Warrnambool
Port Pairy,1,-38.3806327,142.2294039,9,
South West Heatthcare,1,-38.3801373,142.473434,10,Warrnambool
South West Healthcare,1,-38.3801373,142.473434,10,Warrnambool
North Warrnambool Ea­,1,-38.3720954,142.4777782,11,Warrnambool
Worrnombool Tel,1,-38.3720954,142.4777782,11,Warrnambool
Central Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool,4,-38.3720954,142.4777782,11,Warrnambool
Warmambool,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool
Warrnambool,22,-38.3720954,142.4777782,11,Warrnambool
Warmambool SOUTH-,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool
Warrnambool,21,-38.3720954,142.4777782,11,Warrnambool
Warrnambool,17,-38.3720954,142.4777782,11,Warrnambool
Hotel Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
Warrnambool,13,-38.3720954,142.4777782,11,Warrnambool
North Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
Warmambool,1,-38.3720954,142.4777782,11,Warrnambool
North Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool,4,-38.3720954,142.4777782,11,Warrnambool
New Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
South Warmambool,2,-38.3720954,142.4777782,11,Warrnambool
North Warrnam­,1,-38.3720954,142.4777782,11,Warrnambool
North Warrnamllool Eagin,1,-38.3720954,142.4777782,11,Warrnambool
Warrnambool,65,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool's,2,-38.3720954,142.4777782,11,Warrnambool
Nonh Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
Warmambool,9,-38.3720954,142.4777782,11,Warrnambool
East Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool,17,-38.3720954,142.4777782,11,Warrnambool
South Wbool,2,-38.3720954,142.4777782,11,Warrnambool
North Warrnambool,10,-38.3720954,142.4777782,11,Warrnambool
North Warmambool,3,-38.3720954,142.4777782,11,Warrnambool
reet Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool
North Warrnambool Eaglesl,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool
Warrnambocl,1,-38.3720954,142.4777782,11,Warrnambool
South Warrnambool,3,-38.3720954,142.4777782,11,Warrnambool
Warrnambool City Council,1,-38.3686779,142.4982086,12,Warrnambool
Bushfield,2,-38.3250935,142.5055545,13,
Pomborneit,1,-38.2967124,143.2990793,14,
Koroit,3,-38.2921758,142.3673185,15,
Koroit,4,-38.2921758,142.3673185,15,
Koroit,10,-38.2921758,142.3673185,15,
Koroit,11,-38.2921758,142.3673185,15,
Koroit,4,-38.2921758,142.3673185,15,
Grassmere,1,-38.2582366,142.5410767,16,
Narrawong,1,-38.2533641,141.7088602,17,
Terang Mortlake 9,1,-38.2404416,142.9108851,18,
Terang Mortlake team­,1,-38.2404416,142.9108851,18,
