GPE,Count,Latitude,Longitude,group_ID,GPE_new,Discrepancy
Hungary,1,47.162494,19.503304,320,Pusztavacs,1
thaL.,1,47.078596,15.3552061,319,Thal,1
Saint Martins,1,47.0407318,-122.8154094,318,Lacey,1
MAlS+l,1,46.6863988,10.5514095,316,Tartsch - Tarces,1
St George Ban.k,1,46.5649601,21.7272883,315,Șepreuș,1
Soll(S,1,46.3598939,11.241014,314,Söll - Sella,1
France,2,46.227638,2.213749,313,La Celle-sous-Gouzon,1
PORTLAND,1,45.515232,-122.6783853,310,Portland,1
Piazza Duomo,1,45.4641941,9.189698,309,Milan,1
Venice,3,45.4408474,12.3155151,308,Mestre,1
Venice,1,45.4408474,12.3155151,308,Mestre,1
Pineview,1,45.4239279,-75.605533,307,Ottawa,1
Ottawa,1,45.4215296,-75.69719309999999,306,(Old) Ottawa,1
Ottawa,1,45.4215296,-75.69719309999999,306,(Old) Ottawa,1
Oak Island,2,44.5122805,-64.2949465,304,Martins Point,1
heavyground,1,44.4007535,12.2043152,302,Ravenna,1
f'-Mee\JOOm5eytnotlf2'fO+Hq)C58.lSdU6JMay mi,1,44.3148443,-85.60236429999999,301,Michigan,1
nic:es,1,43.7101728,7.261953200000001,299,Nice,1
Heywood-Portland,1,43.662849,-70.275536,298,Portland,1
solu­,1,43.6504333,-88.1080162,297,Wisconsin,1
US Virgin Islands,3,18.335765,-64.896335,136,Anna's Retreat,1
JO Drive,1,32.6291368,-96.8626703,180,DeSoto,1
Puerto,1,18.220833,-66.590149,134,Jayuya,1
Pakenham,1,-38.0776708,145.4818724,27,Melbourne,1
Panmure,5,-36.9011809,174.8570732,52,Maungakiekie-Tāmaki,1
Panmure,2,-36.9011809,174.8570732,52,Maungakiekie-Tāmaki,1
Panmure,1,-36.9011809,174.8570732,52,Maungakiekie-Tāmaki,1
Brambuk,1,-37.1579303,142.5302372,48,Halls Gap,1
SOlllliERN GRAMPIANS,1,-37.2108819,142.3979571,47,Victoria,1
Pigeon Ponds,1,-37.2979115,141.6709392,45,Victoria,1
Kooongwootong,1,-37.4798193,141.6394694,44,Victoria,1
Lake Wendouree,1,-37.5528276,143.8332407,43,Ballarat,1
Ballarat orGeelong,1,-37.5621587,143.8502556,42,Ballarat,1
Gippsland,1,-37.5831982,147.4627259,41,Victoria,1
Glentoompson,1,-37.63677759999999,142.5477626,40,Glenthompson,1
South West Victona,1,-37.6975835,142.4039296,39,Dunkeld,1
Banyule,2,-37.7314254,145.082419,38,Melbourne,1
Parkville,1,-37.7787036,144.9426083,37,Melbourne,1
Maribyrnong,1,-37.7837482,144.8908713,36,Melbourne,1
Maribymong,1,-37.7837482,144.8908713,36,Melbourne,1
NorthMelbourne,1,-37.8008004,144.9485049,35,Melbourne,1
MELBOURNE,3,-37.8136276,144.9630576,34,Melbourne,1
MELBOURNE,1,-37.8136276,144.9630576,34,Melbourne,1
MELBOURNE,1,-37.8136276,144.9630576,34,Melbourne,1
MELBOURNE,2,-37.8136276,144.9630576,34,Melbourne,1
South Melbourne,1,-37.83434430000001,144.9559035,33,Melbourne,1
Toorak,2,-37.8416751,145.0138468,32,Melbourne,1
Branxholme,3,-37.8614896,141.8015613,31,Victoria,1
Beach Oval,1,-37.9455911,145.0007827,30,Melbourne,1
Ellerslie,1,-36.8996982,174.8161917,53,Ōrākei,1
Russells Creek,1,-36.34171507511021,149.7011392578551,56,New South Wales,1
Russells Creek,1,-36.34171507511021,149.7011392578551,56,New South Wales,1
Camperdown,1,-33.88622429999999,151.1791091,73,Sydney,1
Terrey,1,-33.6832036,151.2254937,78,Sydney,1
Manly Beach,1,-33.7931501,151.2876488,77,Sydney,1
Rosehill,1,-33.8239653,151.0212029,76,Sydney,1
Clare Valley,1,-33.8335699,138.61,75,Clare,1
SYDNEY,1,-33.8688197,151.2092955,74,Sydney,1
SYDNEY,2,-33.8688197,151.2092955,74,Sydney,1
SYDNEY,3,-33.8688197,151.2092955,74,Sydney,1
SYDNEY,1,-33.8688197,151.2092955,74,Sydney,1
SYDNEY,1,-33.8688197,151.2092955,74,Sydney,1
Camperdown,4,-33.88622429999999,151.1791091,73,Sydney,1
Camperdown,4,-33.88622429999999,151.1791091,73,Sydney,1
wayalong,1,-33.9223568,147.2026202,72,West Wyalong,1
Russells Creek,2,-36.34171507511021,149.7011392578551,56,New South Wales,1
WoOonoa,1,-34.3423802,150.9052832,70,Wollongong City Council,1
Berryt,1,-34.7757734,150.6988896,68,Berry,1
Port Adelaide,1,-34.8442994,138.505369,67,Adelaide,1
Port Adelaide,1,-34.8442994,138.505369,67,Adelaide,1
Port Adelaide,1,-34.8442994,138.505369,67,Adelaide,1
the Adelaide Hills,1,-34.9062557,138.8397403,66,Lobethal,1
Adelaide Hills,1,-34.9062557,138.8397403,66,Lobethal,1
Scott Creek,1,-35.0565609,138.7080325,64,South Australia,1
Shoalhaven,1,-35.0810677,150.4892292,63,Wandandian,1
Bewong,1,-35.0853273,150.5337437,62,New South Wales,1
Kangaroo Island,1,-35.7752426,137.2142417,60,South Australia,1
Dandenong,1,-37.9847811,145.2139907,28,Melbourne,1
Cranboume,1,-38.1054204,145.2818338,26,Melbourne,1
Shortland,2,-32.8797702,151.6937761,80,Newcastle,1
Kolora,2,-38.1380254,142.9259307,25,Victoria,1
South Warmambool,2,-38.3720954,142.4777782,11,Warrnambool,1
New Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool,4,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
Warmambool,1,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
Hotel Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool,1
Warmambool SOUTH-,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool,1
Warmambool,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool,4,-38.3720954,142.4777782,11,Warrnambool,1
Central Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
Worrnombool Tel,1,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnambool Ea­,1,-38.3720954,142.4777782,11,Warrnambool,1
South West Healthcare,1,-38.3801373,142.473434,10,Warrnambool,1
South West Heatthcare,1,-38.3801373,142.473434,10,Warrnambool,1
Port Pairy,1,-38.3806327,142.2294039,9,Port Fairy,1
Lava Street,2,-38.3817814,142.4849584,8,Warrnambool,1
Griffilhs Island,1,-38.3920823,142.2469658,7,Port Fairy,1
New Zealand,1,-40.900557,174.885971,5,Wellington,1
New Zealand,3,-40.900557,174.885971,5,Wellington,1
New Zealand,5,-40.900557,174.885971,5,Wellington,1
NZ)·Spect,1,-40.900557,174.885971,5,Wellington,1
Te Mania,2,-41.3324394,173.1606394,3,Hope,1
North Warrnam­,1,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnamllool Eagin,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool's,2,-38.3720954,142.4777782,11,Warrnambool,1
Bushfield,2,-38.3250935,142.5055545,13,Victoria,1
Corangamite Shire,1,-38.1491105,143.1319209,24,Victoria,1
"Fremantie, Geelong",1,-38.1492994,144.3598426,23,Geelong,1
Bessiebelle Park,1,-38.1542234,141.9569039,22,Victoria,1
The Mount Noorat,1,-38.1911136,142.9294969,21,Noorat,1
Tyrendorra,1,-38.2184418,141.780982,20,Tyrendarra,1
Mornington,1,-38.22882,145.0600448,19,Melbourne,1
MornlngtOn,1,-38.22882,145.0600448,19,Melbourne,1
Terang Mortlake team­,1,-38.2404416,142.9108851,18,Terang,1
Terang Mortlake 9,1,-38.2404416,142.9108851,18,Terang,1
Grassmere,1,-38.2582366,142.5410767,16,Victoria,1
Pomborneit,1,-38.2967124,143.2990793,14,Pomborneit North,1
Warrnambool City Council,1,-38.3686779,142.4982086,12,Warrnambool,1
Nonh Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool,3,-38.3720954,142.4777782,11,Warrnambool,1
Warrnambocl,1,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool's,1,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnambool Eaglesl,1,-38.3720954,142.4777782,11,Warrnambool,1
reet Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
North Warmambool,3,-38.3720954,142.4777782,11,Warrnambool,1
North Warrnambool,10,-38.3720954,142.4777782,11,Warrnambool,1
South Wbool,2,-38.3720954,142.4777782,11,Warrnambool,1
South Warrnambool,17,-38.3720954,142.4777782,11,Warrnambool,1
East Warrnambool,1,-38.3720954,142.4777782,11,Warrnambool,1
Warmambool,9,-38.3720954,142.4777782,11,Warrnambool,1
Wyong},1,-33.2843475,151.4249427,79,Wyong,1
ISLAND,1,64.963051,-19.020835,405,Iceland,1
Noosa,1,-26.3645433,152.9676695,97,Queensland,1
Hunters Australia,1,-25.274398,133.775136,100,Australia,1
thmgs 1hat,1,11.3377142,77.71826940000001,125,Erode,1
Gabba,1,-27.4858376,153.0380853,89,Brisbane City,1
Austraiia,1,-25.274398,133.775136,100,Australia,1
San Juan del Sur,2,11.263406,-85.8639766,124,San Juan del Sur (Municipio),1
Brisbane,3,-27.4704528,153.0260341,90,Queensland,1
Bali,1,-8.4095178,115.188916,107,Tabanan,1
Brisbane,1,-27.4704528,153.0260341,90,Queensland,1
Brisbane,1,-27.4704528,153.0260341,90,Queensland,1
Costa Rica,1,9.748917,-83.753428,121,Orosi,1
Brisbane,3,-27.4704528,153.0260341,90,Queensland,1
PANAMA,1,8.537981,-80.782127,120,Las Huacas,1
RaUng 58,1,-8.1258333,114.0458333,108,Banyuwangi,1
Brisbane,2,-27.4704528,153.0260341,90,Queensland,1
Bali,1,-8.4095178,115.188916,107,Tabanan,1
Victoria Park,2,-27.4553219,153.0247254,91,Queensland,1
Mooloolaba Beach Is,1,-26.6809437,153.121665,94,Sunshine Coast Regional,1
Mooloolaba,4,-26.6818215,153.11903,93,Sunshine Coast Regional,1
Sunreef Mooloolaba,1,-26.6835329,153.122156,92,Sunshine Coast Regional,1
Parap,1,-12.4322152,130.8433184,104,Darwin,1
Australia.8.30,1,-25.274398,133.775136,100,Australia,1
Panama,1,8.537981,-80.782127,120,Las Huacas,1
Lagos,2,6.5243793,3.3792057,119,Lagos State,1
Au tralian,1,-25.274398,133.775136,100,Australia,1
Victoria Park,1,-27.4553219,153.0247254,91,Queensland,1
l. Jersey,1,1.5252662,103.6610018,117,Iskandar Puteri,1
Colombia,2,4.570868,-74.297333,118,Soacha,1
Nha Trang,1,12.2529152,109.1899018,126,Nha Trang City,1
Bali,2,-8.4095178,115.188916,107,Tabanan,1
Sudan,4,12.862807,30.217636,127,North Kordofan State,1
New Guinea's,1,-5.0122202,141.3470159,113,Sandaun,1
Maroochydore Beach,1,-26.65447,153.1036287,96,Sunshine Coast Regional,1
Queensland,1,-22.575197,144.0847926,101,Muttaburra,1
Huatulco,2,15.8340071,-96.3199488,132,Santa María Huatulco,1
Queensland,9,-22.575197,144.0847926,101,Muttaburra,1
Papua New Guinea,1,-6.314992999999999,143.95555,110,Ialibu,1
Bougainville,1,-6.053602,155.1907309,112,Autonomous Region of Bougainville,1
Subiaco,1,-31.9470195,115.8240278,84,Western Australia,1
Mooloolaba Beach,1,-26.6809437,153.121665,94,Sunshine Coast Regional,1
ataili,1,-8.505541299999999,123.452367,106,Senaki,1
Howe Island,3,-31.5553263,159.0821211,85,Lord Howe Island,1
Los Angeles.(PG,1,12.9088834,74.9938573,130,Kalpane,1
Los Angeles.(PG,1,12.9088834,74.9938573,130,Kalpane,1
Nicaragua,1,12.865416,-85.207229,128,Matagalpa,1
NSW,2,-31.2532183,146.921099,86,New South Wales,1
Lagos,1,6.5243793,3.3792057,119,Lagos State,1
Victoria Point,1,-27.5879419,153.303966,88,Queensland,1
NSW,6,-31.2532183,146.921099,86,New South Wales,1
NSW,2,-31.2532183,146.921099,86,New South Wales,1
Bali,3,-8.4095178,115.188916,107,Tabanan,1
Los Angeles.(PG,1,12.9088834,74.9938573,130,Kalpane,1
Indonesia,1,-0.789275,113.921327,114,Central Kalimantan,1
NSW,2,-31.2532183,146.921099,86,New South Wales,1
Philippines,1,12.879721,121.774017,129,Concepcion,1
Delhi,2,28.7040592,77.10249019999999,165,Delhi,0
Lille,1,50.62925,3.057256,348,Lille,0
Pemberton,1,50.322028,-122.8050498,342,Pemberton,0
Houston,1,29.7604267,-95.3698028,167,Houston,0
Koroit,10,-38.2921758,142.3673185,15,Koroit,0
New Orleans,1,29.95106579999999,-90.0715323,168,New Orleans,0
Sonora,1,29.2972247,-110.3308814,166,Sonora,0
Koroit,4,-38.2921758,142.3673185,15,Koroit,0
